Don Quixote,Miguel de Cervantes
Crime and Punishment,Fyodor Dostoyevsky
War and Peace,Leo Tolstoy
Pride and Prejudice,Jane Austen
To Kill a Mockingbird,Harper Lee
1984,George Orwell
The Catcher in the Rye,J.D. Salinger
One Hundred Years of Solitude,Gabriel Garcia Marquez
The Great Gatsby,F. Scott Fitzgerald
The Brothers Karamazov,Fyodor Dostoyevsky
Anna Karenina,Leo Tolstoy
Ulysses,James Joyce
Moby-Dick,Herman Melville
The Sound and the Fury,William Faulkner
Jane Eyre,Charlotte Bronte
Wuthering Heights,Emily Bronte
The Grapes of Wrath,John Steinbeck
The Picture of Dorian Gray,Oscar Wilde
Frankenstein,Mary Shelley
Madame Bovary,Gustave Flaubert
Heart of Darkness,Joseph Conrad
The Adventures of Huckleberry Finn,Mark Twain
The Scarlet Letter,Nathaniel Hawthorne
Lolita,Vladimir Nabokov
The Sun Also Rises,Ernest Hemingway
Middlemarch,George Eliot
A Tale of Two Cities,Charles Dickens
Great Expectations,Charles Dickens
Dracula,Bram Stoker
The Count of Monte Cristo,Alexandre Dumas
Les Miserables,Victor Hugo
Dubliners,James Joyce
Animal Farm,George Orwell
Lord of the Flies,William Golding
Catch-22,Joseph Heller
The Stranger,Albert Camus
A Clockwork Orange,Anthony Burgess
Brave New World,Aldous Huxley
The Trial,Franz Kafka
Beloved,Toni Morrison
The Handmaid's Tale,Margaret Atwood
Gone with the Wind,Margaret Mitchell
Slaughterhouse-Five,Kurt Vonnegut
The Lord of the Rings,J.R.R. Tolkien
Harry Potter and the Philosopher's Stone,J.K. Rowling
The Color Purple,Alice Walker
One Flew Over the Cuckoo's Nest,Ken Kesey
The Hitchhiker's Guide to the Galaxy,Douglas Adams
A Passage to India,E.M. Forster
The Joy Luck Club,Amy Tan
The Bell Jar,Sylvia Plath
The Age of Innocence,Edith Wharton
The Old Man and the Sea,Ernest Hemingway
A Farewell to Arms,Ernest Hemingway
Of Mice and Men,John Steinbeck
The Canterbury Tales,Geoffrey Chaucer
The Divine Comedy,Dante Alighieri
The Iliad,Homer
The Odyssey,Homer
Beowulf,Anonymous
The Aeneid,Virgil
Don Juan,Lord Byron
Sense and Sensibility,Jane Austen
The Red and the Black,Stendhal
The Stranger,Albert Camus
The Master and Margarita,Mikhail Bulgakov
The Idiot,Fyodor Dostoevsky
The Trial,Franz Kafka
The Unbearable Lightness of Being,Milan Kundera
The Name of the Rose,Umberto Eco
The Talented Mr. Ripley,Patricia Highsmith
The Bell Jar,Sylvia Plath
A Clockwork Orange,Anthony Burgess
A Room of One's Own,Virginia Woolf
Wide Sargasso Sea,Jean Rhys
The Satanic Verses,Salman Rushdie
The Remains of the Day,Kazuo Ishiguro
The Things They Carried,Tim O'Brien
The English Patient,Michael Ondaatje
White Teeth,Zadie Smith
The God of Small Things,Arundhati Roy
The Shadow of the Wind,Carlos Ruiz Zafón
The Kite Runner,Khaled Hosseini
The Girl with the Dragon Tattoo,Stieg Larsson
The Hunger Games,Suzanne Collins
The Help,Kathryn Stockett
Life of Pi,Yann Martel
The Curious Incident of the Dog in the Night-Time,Mark Haddon
The Fault in Our Stars,John Green
A Game of Thrones,George R.R. Martin
The Time Traveler's Wife,Audrey Niffenegger
The Da Vinci Code,Dan Brown
The Alchemist,Paulo Coelho
The Shack,William P. Young
The Bridges of Madison County,Robert James Waller
The Notebook,Nicholas Sparks
The Five People You Meet in Heaven,Mitch Albom
The Celestine Prophecy,James Redfield
The Secret Life of Bees,Sue Monk Kidd
"Eat, Pray, Love",Elizabeth Gilbert
